Data,Cidade,Temperatura_C,Pressao_hPa,Umidade_Perc,Precipitacao_mm
2021-02-25,Campo Grande,25.9,1009.5,0,11.9
2021-02-25,Dourados,26.8,1009.5,0,8.4
2021-02-25,Três Lagoas,27.9,1009.8,0,7.5
2021-02-25,Corumbá,29.0,1008.1,0,0.9
2021-02-25,Ponta Porã,24.7,1011.8,0,5.4
2021-02-25,Aquidauana,26.9,1009.3,0,6.4
2021-02-26,Campo Grande,23.9,1008.9,0,4.5
2021-02-26,Dourados,26.4,1008.8,0,0.2
2021-02-26,Três Lagoas,25.5,1010.2,0,16.1
2021-02-26,Corumbá,26.8,1007.4,0,15.7
2021-02-26,Ponta Porã,25.4,1010.6,0,0.8
2021-02-26,Aquidauana,26.4,1008.0,0,3.4
2021-02-27,Campo Grande,25.9,1009.7,0,1.1
2021-02-27,Dourados,26.7,1010.4,0,0.1
2021-02-27,Três Lagoas,25.7,1011.1,0,3.0
2021-02-27,Corumbá,28.9,1007.9,0,1.3
2021-02-27,Ponta Porã,25.4,1012.7,0,0.0
2021-02-27,Aquidauana,27.1,1009.0,0,0.0
2021-02-28,Campo Grande,26.1,1007.9,0,2.2
2021-02-28,Dourados,26.5,1009.9,0,2.3
2021-02-28,Três Lagoas,25.0,1010.6,0,7.4
2021-02-28,Corumbá,29.7,1006.1,0,0.1
2021-02-28,Ponta Porã,24.7,1011.4,0,3.7
2021-02-28,Aquidauana,26.9,1008.1,0,0.4
2021-03-01,Campo Grande,24.1,1007.8,0,4.1
2021-03-01,Dourados,26.4,1008.6,0,2.5
2021-03-01,Três Lagoas,26.3,1010.0,0,5.2
2021-03-01,Corumbá,28.7,1005.0,0,0.9
2021-03-01,Ponta Porã,24.3,1010.2,0,0.9
2021-03-01,Aquidauana,26.7,1007.3,0,1.2
2021-03-02,Campo Grande,25.3,1009.6,0,4.0
2021-03-02,Dourados,26.1,1009.9,0,3.2
2021-03-02,Três Lagoas,25.0,1012.2,0,3.7
2021-03-02,Corumbá,28.6,1006.9,0,8.2
2021-03-02,Ponta Porã,23.2,1011.6,0,13.3
2021-03-02,Aquidauana,26.3,1009.2,0,14.0
2021-03-03,Campo Grande,24.1,1012.2,0,11.2
2021-03-03,Dourados,25.3,1011.9,0,22.9
2021-03-03,Três Lagoas,24.8,1014.6,0,3.5
2021-03-03,Corumbá,27.7,1009.6,0,1.2
2021-03-03,Ponta Porã,23.5,1013.4,0,7.5
2021-03-03,Aquidauana,26.5,1011.2,0,6.3
2021-03-04,Campo Grande,23.4,1012.1,0,6.1
2021-03-04,Dourados,24.2,1011.2,0,15.8
2021-03-04,Três Lagoas,24.3,1013.7,0,11.0
2021-03-04,Corumbá,25.4,1010.6,0,15.8
2021-03-04,Ponta Porã,22.4,1012.3,0,10.4
2021-03-04,Aquidauana,24.6,1011.3,0,15.3
2021-03-05,Campo Grande,21.9,1010.5,0,10.2
2021-03-05,Dourados,22.7,1009.3,0,17.2
2021-03-05,Três Lagoas,24.4,1010.5,0,9.5
2021-03-05,Corumbá,24.4,1009.5,0,11.6
2021-03-05,Ponta Porã,21.8,1010.4,0,18.4
2021-03-05,Aquidauana,23.4,1009.7,0,26.3
2021-03-06,Campo Grande,23.5,1010.2,0,3.0
2021-03-06,Dourados,23.8,1009.4,0,1.3
2021-03-06,Três Lagoas,25.2,1010.5,0,11.6
2021-03-06,Corumbá,26.7,1009.1,0,0.0
2021-03-06,Ponta Porã,22.0,1011.3,0,4.9
2021-03-06,Aquidauana,24.7,1009.6,0,1.4
2021-03-07,Campo Grande,23.8,1010.9,0,0.8
2021-03-07,Dourados,25.0,1010.7,0,1.3
2021-03-07,Três Lagoas,27.3,1010.8,0,4.0
2021-03-07,Corumbá,28.1,1009.4,0,0.0
2021-03-07,Ponta Porã,23.8,1012.3,0,1.5
2021-03-07,Aquidauana,26.1,1010.1,0,0.7
2021-03-08,Campo Grande,24.7,1011.2,0,3.0
2021-03-08,Dourados,25.8,1011.0,0,0.1
2021-03-08,Três Lagoas,25.6,1011.7,0,6.9
2021-03-08,Corumbá,28.4,1009.8,0,0.2
2021-03-08,Ponta Porã,24.3,1013.0,0,0.0
2021-03-08,Aquidauana,27.0,1010.5,0,0.4
2021-03-09,Campo Grande,24.6,1010.2,0,0.0
2021-03-09,Dourados,26.2,1010.3,0,0.0
2021-03-09,Três Lagoas,27.2,1010.2,0,1.0
2021-03-09,Corumbá,28.5,1009.1,0,0.0
2021-03-09,Ponta Porã,23.6,1012.3,0,0.0
2021-03-09,Aquidauana,26.0,1009.7,0,0.0
2021-03-10,Campo Grande,25.0,1008.8,0,0.0
2021-03-10,Dourados,26.1,1008.9,0,0.0
2021-03-10,Três Lagoas,27.7,1008.7,0,0.0
2021-03-10,Corumbá,27.6,1007.8,0,0.0
2021-03-10,Ponta Porã,24.1,1010.5,0,0.0
2021-03-10,Aquidauana,25.0,1008.5,0,0.0
2021-03-11,Campo Grande,24.9,1010.2,0,0.0
2021-03-11,Dourados,26.6,1009.2,0,0.0
2021-03-11,Três Lagoas,28.3,1010.2,0,0.0
2021-03-11,Corumbá,28.5,1008.4,0,0.0
2021-03-11,Ponta Porã,25.1,1011.5,0,0.0
2021-03-11,Aquidauana,26.3,1009.4,0,0.0
2021-03-12,Campo Grande,26.0,1011.7,0,0.0
2021-03-12,Dourados,27.1,1011.1,0,0.1
2021-03-12,Três Lagoas,29.2,1011.9,0,0.0
2021-03-12,Corumbá,28.8,1010.2,0,0.7
2021-03-12,Ponta Porã,25.6,1013.6,0,0.0
2021-03-12,Aquidauana,27.1,1011.2,0,0.0
2021-03-13,Campo Grande,24.7,1012.5,0,0.5
2021-03-13,Dourados,27.7,1011.7,0,0.0
2021-03-13,Três Lagoas,28.8,1012.4,0,0.0
2021-03-13,Corumbá,28.2,1010.9,0,5.1
2021-03-13,Ponta Porã,26.7,1013.9,0,1.1
2021-03-13,Aquidauana,26.9,1011.7,0,0.2
2021-03-14,Campo Grande,25.2,1012.8,0,0.9
2021-03-14,Dourados,27.6,1012.2,0,0.0
2021-03-14,Três Lagoas,28.3,1013.3,0,0.0
2021-03-14,Corumbá,27.9,1011.1,0,8.2
2021-03-14,Ponta Porã,24.6,1014.7,0,0.9
2021-03-14,Aquidauana,27.2,1011.7,0,0.7
2021-03-15,Campo Grande,24.2,1011.8,0,2.4
2021-03-15,Dourados,27.6,1011.3,0,0.0
2021-03-15,Três Lagoas,28.8,1012.2,0,0.1
2021-03-15,Corumbá,27.3,1010.3,0,4.8
2021-03-15,Ponta Porã,26.6,1012.9,0,0.0
2021-03-15,Aquidauana,26.8,1011.0,0,3.9
2021-03-16,Campo Grande,25.2,1010.1,0,6.6
2021-03-16,Dourados,27.6,1009.5,0,6.9
2021-03-16,Três Lagoas,28.1,1010.8,0,3.3
2021-03-16,Corumbá,27.6,1008.2,0,0.4
2021-03-16,Ponta Porã,25.7,1011.0,0,5.6
2021-03-16,Aquidauana,25.9,1009.4,0,7.9
2021-03-17,Campo Grande,24.1,1010.1,0,5.7
2021-03-17,Dourados,25.3,1010.3,0,6.5
2021-03-17,Três Lagoas,25.9,1010.8,0,7.2
2021-03-17,Corumbá,27.1,1008.4,0,5.9
2021-03-17,Ponta Porã,21.8,1011.9,0,16.0
2021-03-17,Aquidauana,25.5,1009.5,0,15.3
2021-03-18,Campo Grande,24.7,1010.3,0,3.4
2021-03-18,Dourados,25.8,1010.7,0,0.6
2021-03-18,Três Lagoas,26.7,1010.9,0,7.1
2021-03-18,Corumbá,25.7,1009.2,0,23.7
2021-03-18,Ponta Porã,23.0,1012.7,0,2.0
2021-03-18,Aquidauana,25.8,1009.6,0,6.1
2021-03-19,Campo Grande,24.6,1010.1,0,6.0
2021-03-19,Dourados,26.0,1010.5,0,7.4
2021-03-19,Três Lagoas,25.2,1012.3,0,1.7
2021-03-19,Corumbá,25.3,1008.2,0,13.3
2021-03-19,Ponta Porã,24.5,1012.3,0,0.6
2021-03-19,Aquidauana,26.0,1009.4,0,8.2
2021-03-20,Campo Grande,25.8,1012.8,0,0.2
2021-03-20,Dourados,26.8,1012.7,0,0.3
2021-03-20,Três Lagoas,27.1,1014.5,0,0.0
2021-03-20,Corumbá,26.5,1010.4,0,5.4
2021-03-20,Ponta Porã,24.2,1014.4,0,0.7
2021-03-20,Aquidauana,26.6,1011.9,0,0.6
2021-03-21,Campo Grande,25.6,1014.7,0,6.2
2021-03-21,Dourados,27.4,1014.8,0,0.4
2021-03-21,Três Lagoas,28.9,1014.9,0,0.0
2021-03-21,Corumbá,28.0,1012.6,0,1.2
